"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW5,SW3,SW1,SW6,SW2,SW4";"SW_Cherry_MX_1.00u_PCB";6;"SW_Push";;;
2;"J2";"PinHeader_1x04_P1.00mm_Vertical";1;"Conn_01x04_Pin";;;
3;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
4;"SW7";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
